Name,Sets Sets Played,Serve SA,Serve SE,Serve TA,Serve Pct,Serve Eff,Serve Rtg.,Serve 0,Serve 1,Serve 2,Serve 3,Serve ?,Receive 3,Receive 2,Receive 1,Receive 0,Receive TA,Receive ?,Receive Pass%,Perfect PP%,Good GP%,Set Ast,Set TA,Set SE,Set A/S,Set PCT,Dig DS,Dig DE,Attack K,Attack E,Attack TA,Attack Atk%,Attack Atk% FBSO,Attack Atk% Trans,Attack Kill%,Attack K/S,Attack Error%,Attack ?,Block BS,Block BA,Block BE,Block B/S
"Samuel Fafchamps",1,0,1,3,0.67,-0.33,2.33,,1,,2,0,,,,,,,,,,,,,,,,,3,0,4,0.75,0.75,0,0.75,3,0,0,,,,
"Renet Vancker",1,0,0,1,1,0,3,,,,1,0,,,,,,,,,,4,7,0,4,0.57,,,,,,,,,,,,,,,,
"Thomas Neyens",1,,,,,,,,,,,,,,1,,1,0,1,0,0,,,,,,1,0,,,,,,,,,,,,,,
"Jolan Cox",1,0,1,3,0.67,-0.33,2,,1,1,1,0,,,,,,,,,,0,1,0,0,0,1,1,2,3,6,-0.17,0,-0.5,0.33,2,0.5,0,1,0,0,1
"Landon Douglas Currie",1,,,,,,,,,,,,4,1,1,,7,1,2.5,0.67,0.83,,,,,,,,,,,,,,,,,,,,,
"Dawid Pawlun",1,0,1,1,0,-1,3,,,,1,0,,,,,,,,,,6,13,0,6,0.46,2,0,,,,,,,,,,,1,0,0,1
"Miquel Angel Fornés",1,0,0,4,1,0,1.33,,2,1,,0,,,,,,,,,,,,,,,2,1,3,0,5,0.6,0.75,0,0.6,3,0,0,0,1,0,0
"Hampus Ekstrand",1,0,0,4,1,0,1,,3,,,0,2,1,,1,4,0,2,0.5,0.75,,,,,,1,1,1,0,4,0.25,1,0,0.25,1,0,0,0,1,0,0
"Pierre Perin",1,0,0,3,1,0,1.33,,2,1,,0,5,1,2,,8,0,2.38,0.62,0.75,0,2,0,0,0,1,0,1,2,6,-0.17,-0.17,0,0.17,1,0.33,0,,,,
"Greenyard Maaseik",1,1,5,25,0.8,-0.16,2.42,1,4,3,16,0,2,3,9,,16,2,1.5,0.14,0.36,13,21,0,13,0.62,7,0,15,4,24,0.46,0.47,0.44,0.62,15,0.17,0,,,,
"Lindemans Aalst",1,0,3,19,0.84,-0.16,1.76,,9,3,5,0,11,3,4,1,20,1,2.26,0.58,0.74,10,23,0,10,0.45,8,3,10,5,25,0.2,0.32,-0.17,0.4,10,0.2,0,2,2,0,2
